Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.33515731874145005,0.2167171288222111,0.33515731874145005,0.2618753876822997,0.503806174050799
Decision Tree,0.25444596443228457,0.2523796247923574,0.25444596443228457,0.2532804051004082,0.4933614564510351
Gradient Boosting,0.3091655266757866,0.23665048478976838,0.3091655266757866,0.2487256103250231,0.49436300732001226
Random Forest,0.3091655266757866,0.2245675001075108,0.3091655266757866,0.24618555974771267,0.504226155929357
